                                                 0                            1                                                                                                                            2         3                                                                           4
29     3 Penal econômico, tributário e empresarial            Lei nº 4.729/1965                                                                                 Sonegação fiscal; dispositivos remanescentes         M              https://www.planalto.gov.br/ccivil_03/leis/1950-1969/l4729.htm
30     3 Penal econômico, tributário e empresarial            Lei nº 7.492/1986                                                                                  Crimes contra o sistema financeiro nacional        MP                        https://www.planalto.gov.br/ccivil_03/leis/l7492.htm
31     3 Penal econômico, tributário e empresarial            Lei nº 8.078/1990                                                             Código de Defesa do Consumidor; infrações penais (arts. 61 a 80)        MP               https://www.planalto.gov.br/ccivil_03/leis/l8078compilado.htm
32     3 Penal econômico, tributário e empresarial            Lei nº 8.137/1990                                                         Crimes contra a ordem tributária, econômica e as relações de consumo         M                        https://www.planalto.gov.br/ccivil_03/leis/l8137.htm
33     3 Penal econômico, tributário e empresarial            Lei nº 8.176/1991                                                            Crimes contra a ordem econômica; combustíveis e recursos minerais         M                        https://www.planalto.gov.br/ccivil_03/leis/l8176.htm
34     3 Penal econômico, tributário e empresarial            Lei nº 9.279/1996                                                                          Propriedade industrial; crimes e ação penal privada        MP                        https://www.planalto.gov.br/ccivil_03/leis/l9279.htm
35    4 Estatutos protetivos e legislação setorial           Lei nº 10.671/2003                                                                   Estatuto de Defesa do Torcedor; crimes (arts. 41-B a 41-G)        MP                 https://www.planalto.gov.br/ccivil_03/leis/2003/l10.671.htm
36    4 Estatutos protetivos e legislação setorial           Lei nº 10.741/2003                                                             Estatuto da Pessoa Idosa; crimes (arts. 93 a 108) e procedimento        MP                 https://www.planalto.gov.br/ccivil_03/leis/2003/l10.741.htm
37    4 Estatutos protetivos e legislação setorial           Lei nº 11.105/2005                                                                                        Biossegurança; crimes (arts. 24 a 29)         M     https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/l11105.htm
38    4 Estatutos protetivos e legislação setorial           Lei nº 12.984/2014                                                                     Discriminação contra portadores de HIV e doentes de aids         M     https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12984.htm
39    4 Estatutos protetivos e legislação setorial           Lei nº 13.146/2015                                                                   Estatuto da Pessoa com Deficiência; crimes (arts. 88 a 91)         M     https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13146.htm
40    4 Estatutos protetivos e legislação setorial           Lei nº 13.445/2017                                Lei de Migraçao; extradição, expulsão, transferência de pessoas condenadas e cooperaçao penal        MP     https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13445.htm
41    4 Estatutos protetivos e legislação setorial           Lei nº 14.344/2022                             Lei Henry Borel; violência doméstica e familiar contra crianca e adolescente; medidas protetivas        MP     https://www.planalto.gov.br/ccivil_03/_ato2022-2026/2022/lei/L14344.htm
42    4 Estatutos protetivos e legislação setorial            Lei nº 6.001/1973                                                                   Estatuto do Índio; crimes contra indígenas (arts. 58 e 59)         M                        https://www.planalto.gov.br/ccivil_03/leis/l6001.htm
43    4 Estatutos protetivos e legislação setorial            Lei nº 6.453/1977                                                                 Responsabilidade por danos nucleares; crimes (arts. 20 a 27)         M                        https://www.planalto.gov.br/ccivil_03/leis/l6453.htm
44    4 Estatutos protetivos e legislação setorial            Lei nº 6.766/1979                                                                          Parcelamento do solo urbano; crimes (arts. 50 a 52)         M                        https://www.planalto.gov.br/ccivil_03/leis/l6766.htm
45    4 Estatutos protetivos e legislação setorial            Lei nº 7.802/1989                                                                                          Agrotóxicos; crimes (arts. 15 e 16)         M                        https://www.planalto.gov.br/ccivil_03/leis/l7802.htm
46    4 Estatutos protetivos e legislação setorial            Lei nº 7.853/1989                                                                            Apoio a pessoas com deficiência; crime do art. 8.         M                        https://www.planalto.gov.br/ccivil_03/leis/l7853.htm
47    4 Estatutos protetivos e legislação setorial            Lei nº 9.029/1995                                  Práticas discriminatórias no acesso e na manutenção da relação de emprego; crime do art. 2.         M                        https://www.planalto.gov.br/ccivil_03/leis/l9029.htm
48    4 Estatutos protetivos e legislação setorial            Lei nº 9.263/1996                                                                     Planejamento familiar; crimes de esterilização irregular         M                        https://www.planalto.gov.br/ccivil_03/leis/l9263.htm
49    4 Estatutos protetivos e legislação setorial            Lei nº 9.434/1997                                                  Remoção de órgãos, tecidos e partes do corpo humano; crimes (arts. 14 a 20)         M                        https://www.planalto.gov.br/ccivil_03/leis/l9434.htm
50    4 Estatutos protetivos e legislação setorial            Lei nº 9.472/1997                                                Servicos de telecomunicações; crime de desenvolvimento clandestino (art. 183)         M                        https://www.planalto.gov.br/ccivil_03/leis/l9472.htm
51  5 Penal eleitoral e crimes de responsabilidade      Decreto-Lei nº 201/1967                            Crimes de responsabilidade de prefeitos e vereadores; crimes próprios de natureza penal (art. 1.)        MP               https://www.planalto.gov.br/ccivil_03/decreto-lei/del0201.htm
52  5 Penal eleitoral e crimes de responsabilidade            Lei nº 1.079/1950                                                                            Crimes de responsabilidade; processo e julgamento         P                        https://www.planalto.gov.br/ccivil_03/leis/l1079.htm
53  5 Penal eleitoral e crimes de responsabilidade            Lei nº 4.737/1965                                             Código Eleitoral; crimes eleitorais e processo penal eleitoral (arts. 283 a 364)        MP               https://www.planalto.gov.br/ccivil_03/leis/l4737compilado.htm
54  5 Penal eleitoral e crimes de responsabilidade            Lei nº 6.091/1974                                                                     Transporte e alimentação de eleitores; crimes eleitorais         M                        https://www.planalto.gov.br/ccivil_03/leis/l6091.htm
55  5 Penal eleitoral e crimes de responsabilidade            Lei nº 8.429/1992                                                                 Improbidade administrativa; interface com a persecução penal         P                        https://www.planalto.gov.br/ccivil_03/leis/l8429.htm
56  5 Penal eleitoral e crimes de responsabilidade            Lei nº 9.504/1997                                                                    Normas para as eleições; tipos penais eleitorais esparsos         M                        https://www.planalto.gov.br/ccivil_03/leis/l9504.htm
57       6 Processo penal, investigação e execução  Lei Complementar nº 75/1993                                                       Estatuto do Ministério Público da União; poder investigatório criminal         P                    https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp75.htm
58       6 Processo penal, investigação e execução           Lei nº 10.259/2001                                    Juizados Especiais Federais; competência criminal e infrações de menor potencial ofensivo         P             https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10259.htm
59       6 Processo penal, investigação e execução           Lei nº 10.446/2002                                        Atribuição investigativa da Polícia Federal em infrações de repercussão interestadual         P                  https://www.planalto.gov.br/ccivil_03/leis/2002/l10446.htm
60       6 Processo penal, investigação e execução           Lei nº 11.671/2008                                   Transferência e inclusao de presos em estabelecimentos penais federais de segurança máxima         P     https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11671.htm
61       6 Processo penal, investigação e execução           Lei nº 12.037/2009                                        Identificação criminal do civilmente identificado; identificação pelo perfil genético         P     https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12037.htm
62       6 Processo penal, investigação e execução           Lei nº 12.654/2012                                                               Coleta de perfil genético como forma de identificação criminal         P     https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12654.htm
63       6 Processo penal, investigação e execução           Lei nº 12.694/2012                                                    Julgamento colegiado em primeiro grau nos crimes de organização criminosa         P     https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12694.htm
64       6 Processo penal, investigação e execução           Lei nº 12.830/2013                                                                     Investigação criminal conduzida pelo delegado de polícia         P     https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12830.htm
65       6 Processo penal, investigação e execução           Lei nº 13.431/2017                                 Escuta especializada e depoimento especial de criancas e adolescentes vítimas ou testemunhas         P     https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13431.htm
66       6 Processo penal, investigação e execução           Lei nº 13.964/2019                                     Pacote Anticrime; juiz das garantias, acordo de nao persecução penal, cadeia de custódia        MP     https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/L13964.htm
67       6 Processo penal, investigação e execução           Lei nº 15.407/2026                                                     Presídios federais de segurança máxima e regime disciplinar diferenciado         P     https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/lei/l15407.htm
68       6 Processo penal, investigação e execução            Lei nº 7.960/1989                                                                                                            Prisão temporária         P                        https://www.planalto.gov.br/ccivil_03/leis/l7960.htm
69       6 Processo penal, investigação e execução            Lei nº 8.038/1990                                                                   Procedimentos nas ações penais originárias do STF e do STJ         P                        https://www.planalto.gov.br/ccivil_03/leis/l8038.htm
70       6 Processo penal, investigação e execução            Lei nº 8.625/1993                                                           Lei Orgânica Nacional do Ministério Público; atribuições criminais         P                        https://www.planalto.gov.br/ccivil_03/leis/l8625.htm
71       6 Processo penal, investigação e execução            Lei nº 8.658/1993                                                          Extensão do rito da Lei nº 8.038/1990 aos tribunais de segundo grau         P                        https://www.planalto.gov.br/ccivil_03/leis/l8658.htm
72       6 Processo penal, investigação e execução            Lei nº 8.906/1994                                           Estatuto da Advocacia; prerrogativas do defensor no inquérito (art. 7., XIV e XXI)         P                        https://www.planalto.gov.br/ccivil_03/leis/l8906.htm
73       6 Processo penal, investigação e execução            Lei nº 9.296/1996                                     Interceptação de comunicações telefônicas e de sistemas de informática; crime do art. 10        MP                        https://www.planalto.gov.br/ccivil_03/leis/l9296.htm
74       6 Processo penal, investigação e execução            Lei nº 9.807/1999                                                                 Proteção a vítimas e testemunhas ameaçadas; delação premiada         P                        https://www.planalto.gov.br/ccivil_03/leis/l9807.htm
75              7 Penal e processual penal militar           Lei nº 13.491/2017                                                                          Ampliação do conceito de crime militar por extensão        MP     https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13491.htm
76              7 Penal e processual penal militar           Lei nº 14.688/2023                                                     Alterações no Código Penal Militar e no Código de Processo Penal Militar        MP     https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/L14688.htm
77              7 Penal e processual penal militar            Lei nº 6.880/1980                                                                Estatuto dos Militares; interface disciplinar e penal militar         P                        https://www.planalto.gov.br/ccivil_03/leis/l6880.htm
78              7 Penal e processual penal militar            Lei nº 8.457/1992                                                                Organização da Justiça Militar da União; conselhos de justiça         P                        https://www.planalto.gov.br/ccivil_03/leis/l8457.htm
79           8 Normas convencionais internalizadas        Decreto nº 4.388/2002                                                                             Estatuto de Roma do Tribunal Penal Internacional        MP                https://www.planalto.gov.br/ccivil_03/decreto/2002/d4388.htm
80           8 Normas convencionais internalizadas           Decreto nº 40/1991                                    Convenção contra a Tortura e outros Tratamentos ou Penas Cruéis, Desumanos ou Degradantes         M           https://www.planalto.gov.br/ccivil_03/decreto/1990-1994/d0040.htm
81           8 Normas convencionais internalizadas        Decreto nº 5.015/2004                                                                 Convenção de Palermo contra o crime organizado transnacional        MP  https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d5015.htm
82           8 Normas convencionais internalizadas        Decreto nº 5.687/2006                                                                                       Convenção de Mérida contra a corrupção        MP  https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5687.htm
83           8 Normas convencionais internalizadas          Decreto nº 678/1992                                                       Convenção Americana sobre Direitos Humanos; garantias judiciais penais         P                     https://www.planalto.gov.br/ccivil_03/decreto/d0678.htm
84           8 Normas convencionais internalizadas        Decreto nº 9.199/2017                                                                   Regulamento da Lei de Migraçao; procedimento de extradição         P  https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9199.htm
85                       9 Atos infralegais do CNJ    Resolução CNJ nº 213/2015                                                                 Audiência de custódia; apresentação do preso em ate 24 horas         P                                  https://atos.cnj.jus.br/atos/detalhar/2234
86                       9 Atos infralegais do CNJ    Resolução CNJ nº 329/2020                                                                       Videoconferência no processo penal e de execução penal         P                                  https://atos.cnj.jus.br/atos/detalhar/3400
87                       9 Atos infralegais do CNJ    Resolução CNJ nº 484/2023                                                                                            Cadeia de custódia da prova penal         P                                  https://atos.cnj.jus.br/atos/detalhar/4574
88                       9 Atos infralegais do CNJ    Resolução CNJ nº 487/2023                                                            Política antimanicomial do Poder Judiciário; medidas de segurança         P                                  https://atos.cnj.jus.br/atos/detalhar/4589
